ticket_id,user_id,issue_category,priority,resolution_time_hours,satisfaction_score
126,126,Billing,Low,10.2,4.7
127,127,Bug,Medium,3.6,4.5
128,128,Billing,High,2.3,5
129,129,Technical,Medium,2.8,5
130,130,Bug,Medium,15.7,3.5
131,131,Technical,High,6.6,5
132,132,Technical,High,14.3,4.7
133,133,Bug,High,5.3,5
134,134,Bug,Low,11.4,5
135,135,Feature Request,Medium,10.8,4.1
136,136,Technical,High,7.6,4.9
137,137,Technical,Medium,7.2,5
138,138,Bug,Low,6.8,4.9
139,139,Bug,Medium,33.5,3.8
140,140,Technical,Medium,34.3,2.4
141,141,Feature Request,Low,39.5,3.2
142,142,Bug,High,21.8,4.6
143,143,Bug,Low,1,5
144,144,Billing,High,19.5,3.7
145,145,Billing,Medium,4.8,4.8
146,146,Feature Request,Medium,6.1,4
147,147,Technical,High,3,5
148,148,Bug,Medium,10,4.1
149,149,Feature Request,Medium,1,5
150,150,Billing,High,4.7,4.3
151,151,Bug,Low,8.9,5
152,152,Bug,High,11.6,4
153,153,Bug,High,11.4,5
154,154,Technical,High,8,4.9
155,155,Billing,High,9.9,4.9
156,156,Billing,Low,18.2,3.9
157,157,Technical,High,2.3,5
158,158,Technical,High,5.6,5
159,159,Technical,Medium,5.9,5
160,160,Billing,Medium,8.7,3.8
161,161,Technical,Medium,5,4.9
162,162,Feature Request,High,22.3,4.8
163,163,Bug,Medium,14.9,4.7
164,164,Feature Request,Medium,12,3.7
165,165,Feature Request,Low,11.2,5
166,166,Billing,High,7.6,5
167,167,Billing,High,8.1,4
168,168,Billing,Low,1,5
169,169,Technical,Medium,10.6,4.5
170,170,Feature Request,Medium,13.2,4.9
171,171,Technical,Low,1,5
172,172,Feature Request,Low,12.4,5
173,173,Technical,Medium,1.9,5
174,174,Technical,Low,9.7,5
175,175,Billing,Medium,8.6,4.5
176,176,Billing,Low,10.2,5
177,177,Bug,Low,12.4,5
178,178,Billing,Low,9,4.1
179,179,Technical,Low,1,4.9
180,180,Feature Request,Low,6.3,5
181,181,Technical,High,27.2,4.1
182,182,Feature Request,Low,13.4,3.9
183,183,Technical,Medium,21,3.6
184,184,Billing,Medium,4.1,5
185,185,Billing,Low,34.6,4
186,186,Feature Request,Low,1.4,5
187,187,Technical,Low,4.1,5
188,188,Technical,Medium,7.7,4.8
189,189,Technical,Low,7.7,5
190,190,Feature Request,High,9.5,4.6
191,191,Billing,High,1,4.4
192,192,Billing,Low,9,5
193,193,Billing,High,14.7,3.3
194,194,Billing,High,13.3,3.5
195,195,Technical,Low,1,4.2
196,196,Bug,High,1,4.6
197,197,Bug,Low,2.2,4.7
198,198,Bug,High,11.1,4.6
199,199,Bug,Medium,24.6,4.5
200,200,Feature Request,Medium,20.8,4.3
201,201,Technical,Medium,4.1,5
202,202,Feature Request,Medium,22.1,4.3
203,203,Feature Request,Low,38.2,2.4
204,204,Bug,Low,27.4,3.8
205,205,Feature Request,Low,13.6,4.7
206,206,Billing,High,11,4.6
207,207,Feature Request,High,21.8,4.8
208,208,Technical,Low,1,5
209,209,Feature Request,High,12.5,4.8
210,210,Billing,Low,23.2,3.1
211,211,Technical,Medium,12.4,5
212,212,Bug,Low,2.1,5
213,213,Feature Request,Low,11.8,5
214,214,Feature Request,Low,16.7,4.7
215,215,Billing,Low,13,5
216,216,Feature Request,High,23.2,4.2
217,217,Feature Request,Low,28.6,4.6
218,218,Technical,Low,10.7,4.8
219,219,Feature Request,High,12.4,5
220,220,Technical,Medium,4.2,4.3
221,221,Bug,Low,32.1,3.1
222,222,Bug,High,16.8,4.9
223,223,Feature Request,Medium,14.2,4.7
224,224,Bug,Low,13.7,4.4
225,225,Bug,High,1.8,4
226,226,Feature Request,Low,6,5
227,227,Technical,Medium,7.8,5
228,228,Feature Request,High,2.6,5
229,229,Bug,High,2.7,5
230,230,Billing,High,1,5
231,231,Technical,Medium,2.4,4.3
232,232,Billing,High,2.7,4.9
233,233,Technical,Low,24.8,4.5
234,234,Technical,High,1,5
235,235,Bug,Low,1.6,5
236,236,Feature Request,High,2.6,5
237,237,Technical,Medium,6.4,5
238,238,Billing,High,56.4,2.5
239,239,Technical,Medium,1.2,5
240,240,Bug,Low,3.6,4.6
241,241,Technical,Low,2.7,5
242,242,Technical,High,10.5,5
243,243,Bug,High,1.7,5
244,244,Bug,Medium,8.2,4.7
245,245,Bug,Low,18.3,5
246,246,Bug,Medium,4.2,5
247,247,Technical,High,13.3,4.8
248,248,Feature Request,Low,12.2,4.8
249,249,Billing,High,24.3,4.5
250,250,Billing,Medium,3.4,5
251,251,Feature Request,High,4.1,5
252,252,Bug,Low,2.5,4.1
253,253,Billing,Low,11.6,4.9
254,254,Billing,High,1.3,5
255,255,Billing,Medium,3.4,5
256,256,Billing,High,6.2,4.1
257,257,Technical,High,10.1,4.1
258,258,Billing,Low,9.4,5
259,259,Billing,Low,1,4.5
260,260,Billing,High,2.8,5
261,261,Feature Request,Medium,8.1,5
262,262,Bug,Medium,14.3,4.8
263,263,Bug,Medium,8.3,4.6
264,264,Feature Request,High,7,5
265,265,Feature Request,High,3.7,5
266,266,Feature Request,High,19.4,5
267,267,Technical,Low,29.3,4.1
268,268,Billing,Low,78.2,1.2
269,269,Bug,Low,4,5
270,270,Feature Request,Low,1,5
271,271,Billing,Low,2.4,5
272,272,Feature Request,High,36.4,4.1
273,273,Bug,Low,10.3,4.7
274,274,Feature Request,Low,4.9,5
275,275,Bug,Low,27.8,4.5
276,276,Bug,Low,37.9,2.6
277,277,Billing,High,26,4.1
278,278,Bug,High,12.4,4.7
279,279,Feature Request,High,1,5
280,280,Billing,Medium,3.1,5
281,281,Technical,Medium,9.4,5
282,282,Billing,Medium,2.8,3.9
283,283,Feature Request,Medium,41.5,3.2
284,284,Feature Request,High,24.8,4
285,285,Feature Request,High,12.4,4.7
286,286,Bug,Low,3,5
287,287,Bug,Low,3.6,4.9
288,288,Technical,Medium,10.7,4.5
289,289,Billing,High,1,5
290,290,Feature Request,Medium,19.6,4.3
291,291,Technical,Low,23.1,4.1
292,292,Billing,Low,35.3,3.9
293,293,Bug,Medium,14.1,4.5
294,294,Feature Request,High,6.8,4.7
295,295,Technical,Medium,1,4.5
296,296,Bug,High,20.7,3
297,297,Technical,High,6.1,5
298,298,Billing,Low,1,5
299,299,Bug,Low,1,5
300,300,Billing,Low,1.1,4.7
301,301,Billing,High,32.3,3.8
302,302,Technical,High,24.3,4
303,303,Technical,High,2.4,5
304,304,Technical,Low,4,4.8
305,305,Feature Request,High,4.5,4.8
306,306,Feature Request,High,17.4,3.6
307,307,Billing,Medium,13.4,4
308,308,Technical,High,13.4,4.8
309,309,Billing,Low,11.9,4.4
310,310,Billing,Medium,7.8,5
311,311,Technical,Low,15.7,5
312,312,Bug,Low,47.8,3.4
313,313,Technical,Medium,2.6,4.3
314,314,Technical,Low,12.6,5
315,315,Technical,Medium,15.2,5
316,316,Bug,Medium,4.5,4.8
317,317,Feature Request,Medium,17.6,4.1
318,318,Technical,High,23.1,4.6
319,319,Bug,Medium,21.8,4.5
320,320,Billing,Low,3.4,5
321,321,Feature Request,Low,8,4.8
322,322,Feature Request,High,29.1,4.4
323,323,Bug,Medium,8.2,4.2
324,324,Technical,Medium,3.3,5
325,325,Feature Request,Medium,42.1,3.5
326,326,Bug,High,1.7,5
327,327,Feature Request,High,2.2,5
328,328,Billing,High,1,4.7
329,329,Billing,High,8.7,5
330,330,Technical,High,50.8,3.4
331,331,Billing,Low,23.1,4.8
332,332,Bug,Medium,19.3,4.6
333,333,Feature Request,High,8.8,5
334,334,Bug,High,32.1,3.3
335,335,Billing,High,8.7,5
336,336,Billing,Low,28,3.4
337,337,Billing,Low,11.9,4.2
338,338,Feature Request,Low,7.5,4.7
339,339,Bug,Medium,5.9,5
340,340,Billing,Low,4,5
341,341,Feature Request,Medium,15.7,4.6
342,342,Billing,Medium,2,4.8
343,343,Bug,Medium,2.2,5
344,344,Feature Request,High,12.7,4.5
345,345,Feature Request,High,13.7,3.8
346,346,Billing,Medium,7.9,5
347,347,Technical,Low,43.3,2.9
348,348,Feature Request,Medium,5.2,5
349,349,Billing,Medium,21,4
350,350,Feature Request,Low,27.7,3.7
351,351,Feature Request,Medium,4.8,5
352,352,Feature Request,Medium,1,5
353,353,Technical,Medium,19.4,3.5
354,354,Technical,Medium,9.2,3.6
355,355,Billing,Medium,5.5,5
356,356,Feature Request,Low,15.4,4.5
357,357,Feature Request,Medium,3.4,5
358,358,Technical,High,1.3,5
359,359,Billing,Medium,38.2,3.9
360,360,Bug,High,20.1,4.1
361,361,Bug,Medium,13.2,4.6
362,362,Billing,Low,28.7,3.9
363,363,Bug,Low,1.4,5
364,364,Billing,Medium,5.6,4.8
365,365,Feature Request,Low,21.4,3.4
366,366,Technical,Medium,13.2,4.4
367,367,Technical,High,8.1,5
368,368,Bug,Low,7.5,5
369,369,Feature Request,High,10.4,5
370,370,Feature Request,High,41.9,3.1
371,371,Bug,High,40.2,3.7
372,372,Billing,High,2.5,5
373,373,Bug,High,15.1,3.7
374,374,Bug,Medium,1.5,5
375,375,Feature Request,Low,7.9,5
376,376,Technical,Medium,6.6,4.5
377,377,Feature Request,Low,3.1,4.9
378,378,Technical,Low,19.7,4.4
379,379,Bug,High,17.5,4.2
380,380,Bug,Low,11.6,4.9
381,381,Billing,Medium,19.2,4.3
382,382,Feature Request,Low,13.7,4.4
383,383,Technical,Low,20.8,4.6
384,384,Bug,High,24.5,4
385,385,Feature Request,Low,9,5
386,386,Billing,Medium,1,5
387,387,Bug,Low,17.6,4.9
388,388,Feature Request,Medium,8.9,4.7
389,389,Billing,High,14.2,3.4
390,390,Bug,High,9.9,5
391,391,Bug,High,3.5,4.9
392,392,Technical,Medium,25,3.1
393,393,Billing,High,1,4.6
394,394,Bug,Medium,6.6,5
395,395,Billing,High,5.3,4.7
396,396,Bug,Low,48.8,2.8
397,397,Bug,Low,5.9,5
398,398,Bug,Medium,12.3,3.9
399,399,Bug,Medium,1.4,5
400,400,Feature Request,Low,35.6,3.5
401,401,Technical,Medium,18.7,3.8
402,402,Billing,Low,16.3,5
403,403,Feature Request,Low,3.3,5
404,404,Feature Request,Medium,1.3,5
405,405,Feature Request,Low,15.4,4.2
406,406,Feature Request,Low,1.3,4.9
407,407,Feature Request,Low,9,4.7
408,408,Feature Request,Low,7.6,5
409,409,Bug,Medium,49,3
410,410,Feature Request,Low,1.7,5
411,411,Bug,Low,3.9,5
412,412,Billing,Medium,23.4,4.8
413,413,Technical,High,19.5,4.1
414,414,Bug,High,12,5
415,415,Feature Request,Medium,57.7,2.5
416,416,Technical,Medium,2.1,5
417,417,Bug,Low,8.8,4.8
418,418,Billing,Low,20.4,4.7
419,419,Feature Request,High,6.2,5
420,420,Technical,Low,12.9,4.9
421,421,Technical,High,4.2,5
422,422,Billing,Low,11,5
423,423,Technical,Medium,9.3,5
424,424,Feature Request,Medium,14.3,5
425,425,Billing,High,3.3,4.9
426,426,Bug,Medium,9,3.8
427,427,Billing,Low,2,4.9
428,428,Technical,Medium,7.8,5
429,429,Feature Request,Low,9.3,5
430,430,Bug,High,3.9,5
431,431,Billing,High,3.4,5
432,432,Technical,Medium,3.3,5
433,433,Feature Request,Low,21.7,4.6
434,434,Billing,Low,9,4.5
435,435,Feature Request,Low,18.8,4.2
436,436,Technical,Low,1,5
437,437,Technical,Medium,4.2,4.8
438,438,Bug,Low,4.3,5
439,439,Feature Request,Medium,3.3,4.9
440,440,Feature Request,Low,2,5
441,441,Feature Request,Medium,7.9,4.4
442,442,Billing,Medium,5.5,5
443,443,Billing,Medium,1,4
444,444,Bug,Low,16.5,3.3
445,445,Feature Request,Low,26.8,3.7
446,446,Feature Request,High,3.7,4.9
447,447,Feature Request,High,6.5,5
448,448,Technical,Low,15.6,5
449,449,Bug,Medium,14.4,5
450,450,Technical,High,25.2,4.7
451,451,Bug,Medium,5.5,4.8
452,452,Billing,Medium,7,4.4
453,453,Billing,High,3.4,5
454,454,Billing,Low,23.1,4.4
455,455,Feature Request,Low,6.6,5
456,456,Billing,Low,5.7,5
457,457,Bug,Medium,37.6,4.1
458,458,Technical,Low,11.8,4.5
459,459,Billing,Low,20.2,4.2
460,460,Bug,Medium,3.9,5
461,461,Billing,Low,3.1,5
462,462,Feature Request,Low,5.1,4.1
463,463,Billing,Medium,22.6,4.4
464,464,Billing,Medium,1,5
465,465,Bug,Low,15.4,4.7
466,466,Feature Request,Low,3.8,4.5
467,467,Technical,Medium,11.9,4.4
468,468,Bug,Medium,3.9,4.9
469,469,Bug,Medium,11.2,5
470,470,Bug,High,1,5
471,471,Technical,Medium,13.4,4.8
472,472,Technical,Low,3.6,5
473,473,Feature Request,Medium,12.1,5
474,474,Feature Request,Medium,14,4.4
475,475,Technical,High,1.4,5
476,476,Billing,High,23.4,4
477,477,Feature Request,High,2.4,5
478,478,Billing,Medium,40,3.5
479,479,Feature Request,Medium,2.4,5
480,480,Billing,Medium,3.2,4.1
481,481,Feature Request,High,1,5
482,482,Bug,Medium,14.9,4.7
483,483,Billing,Low,9.5,4.1
484,484,Billing,Low,5.4,5
485,485,Technical,Medium,10.8,3.8
486,486,Feature Request,Medium,2.4,5
487,487,Bug,High,1.7,5
488,488,Feature Request,Low,5,5
489,489,Billing,Medium,18.1,3.6
490,490,Bug,Low,4.9,5
491,491,Bug,Medium,20.4,4.8
492,492,Billing,Low,13.8,3.3
493,493,Technical,Medium,5.5,5
494,494,Feature Request,Low,3.4,5
495,495,Technical,Low,36.3,3.3
496,496,Bug,Low,27.8,3.1
497,497,Technical,Medium,10.9,5
498,498,Feature Request,Low,1,5
499,499,Bug,Low,1,5
500,500,Feature Request,High,31.6,4
501,501,Bug,Medium,6.6,3.8
502,502,Feature Request,Low,3.9,5
503,503,Technical,Medium,53.7,3.1
504,504,Billing,Medium,7.4,3.9
505,505,Billing,Low,6,5
506,506,Billing,High,1,5
507,507,Bug,High,3.2,5
508,508,Bug,Medium,3.9,5
509,509,Bug,High,6.5,5
510,510,Bug,Medium,4.1,4.1
511,511,Billing,High,27.4,4
512,512,Billing,Medium,18.5,4.9
513,513,Bug,Medium,6,5
514,514,Bug,Low,31.1,3.5
515,515,Billing,Medium,17.3,4.6
516,516,Feature Request,High,34.9,3
517,517,Feature Request,High,10.8,4.8
518,518,Feature Request,Medium,8.1,4.6
519,519,Billing,Low,7.8,5
520,520,Billing,High,11.9,4.6
521,521,Feature Request,Low,8.5,5
522,522,Billing,Low,5.8,4.8
523,523,Bug,Medium,6.7,5
524,524,Bug,Low,2.4,4.9
525,525,Technical,Medium,7.6,5
526,526,Bug,Medium,11,4.8
527,527,Feature Request,High,1.4,5
528,528,Feature Request,Low,16,5
529,529,Technical,Low,10.7,5
530,530,Feature Request,Medium,3.1,4.3
531,531,Bug,High,1.7,4
532,532,Feature Request,Medium,9.5,5
533,533,Bug,Medium,17.6,4.4
534,534,Billing,Medium,1,4.2
535,535,Feature Request,High,40.5,3.7
536,536,Bug,Medium,2.5,5
537,537,Feature Request,Low,1.5,4.9
538,538,Technical,Medium,17.4,5
539,539,Technical,High,19.5,4.7
540,540,Bug,High,1.1,4.9
541,541,Bug,Low,11.9,5
542,542,Technical,Low,29.9,3.9
543,543,Technical,High,7.4,5
544,544,Billing,High,3.1,5
545,545,Bug,High,30.6,4.2
546,546,Billing,High,16.4,3.9
547,547,Billing,Low,48.6,1.7
548,548,Bug,Low,15.9,4.5
549,549,Billing,Medium,9.9,4.7
550,550,Billing,Low,1.7,5
551,551,Technical,Low,4.7,4.6
552,552,Feature Request,High,2,5
553,553,Bug,Low,3.6,5
554,554,Technical,Medium,32.2,3.7
555,555,Billing,Medium,17.7,3.8
556,556,Bug,Low,2.5,5
557,557,Feature Request,Low,2,5
558,558,Bug,Low,7.5,4.9
559,559,Feature Request,High,27.3,4.5
560,560,Feature Request,Medium,5.4,5
561,561,Bug,High,1,5
562,562,Feature Request,Low,3.3,4.8
563,563,Feature Request,Low,5.6,4.1
564,564,Bug,High,5.7,5
565,565,Bug,High,1,5
566,566,Technical,Low,31,4.2
567,567,Bug,Medium,3.4,5
568,568,Technical,Medium,9.2,4.3
569,569,Bug,Medium,11.9,4.5
570,570,Bug,Low,1,5
571,571,Feature Request,High,29.2,4.3
572,572,Bug,Low,6.8,5
573,573,Billing,Medium,2.5,5
574,574,Feature Request,High,6.8,5
575,575,Feature Request,Low,39.8,3.6
576,576,Technical,Medium,39.6,3.3
577,577,Bug,Medium,13.4,4.9
578,578,Billing,Medium,10.2,5
579,579,Billing,Low,9.2,5
580,580,Bug,High,14.3,4.5
581,581,Technical,Low,4.9,3.9
582,582,Feature Request,High,3.7,4.7
583,583,Technical,High,12.6,4.6
584,584,Technical,Low,10.2,5
585,585,Feature Request,Medium,5.7,5
586,586,Bug,Medium,1.4,5
587,587,Technical,Low,6.6,3.7
588,588,Billing,Low,9.3,5
589,589,Bug,Low,5.3,3.8
590,590,Technical,Medium,45.5,2.5
591,591,Billing,Low,2.4,5
592,592,Technical,Low,23,4.1
593,593,Technical,High,1.2,5
594,594,Feature Request,Low,18,4.2
595,595,Billing,Medium,6.2,5
596,596,Billing,Medium,4.4,4.8
597,597,Bug,High,32.1,2.5
598,598,Feature Request,Medium,6.7,5
599,599,Billing,Low,1,5
600,600,Bug,Low,21.9,4.5
601,601,Bug,Low,9.1,5
602,602,Feature Request,Low,3.9,4.4
603,603,Bug,High,2.2,5
604,604,Billing,Medium,3.8,4.6
605,605,Billing,Medium,22.6,3
606,606,Billing,High,25.2,3.1
607,607,Technical,Low,13.7,4.7
608,608,Technical,High,20.2,4.4
609,609,Billing,Medium,2.6,5
610,610,Billing,Low,30.4,3.5
611,611,Bug,Low,3.1,4.3
612,612,Billing,Low,38.5,3.8
613,613,Technical,High,1.8,5
614,614,Feature Request,Low,25.8,4.5
615,615,Bug,High,9.9,4.7
616,616,Billing,Medium,36.4,3.6
617,617,Bug,High,3.6,5
618,618,Feature Request,High,4.6,4.9
619,619,Billing,Low,4.9,3.8
620,620,Billing,Medium,3.2,5
621,621,Bug,Low,5.7,4.2
622,622,Bug,High,5.2,5
623,623,Feature Request,Medium,7.4,4.9
624,624,Feature Request,Low,9.9,5
625,625,Feature Request,High,25.3,4
626,626,Bug,Medium,1.6,5
627,627,Technical,Medium,5.4,5
628,628,Feature Request,High,4.3,4.4
629,629,Billing,Medium,15.4,4.2
630,630,Technical,High,24.7,4.8
631,631,Billing,High,21.9,3.5
632,632,Bug,Low,3.8,4.5
633,633,Technical,Low,4.8,4.9
634,634,Technical,Low,1,4.4
635,635,Billing,High,64.9,1.9
636,636,Feature Request,Low,11,3.8
637,637,Technical,Medium,1.8,5
638,638,Technical,Low,16.9,4.6
639,639,Technical,Low,19.1,3.8
640,640,Billing,High,12.2,4.4
641,641,Billing,High,16.6,4.7
642,642,Technical,High,30.7,4.1
643,643,Bug,Medium,3.7,5
644,644,Technical,High,9.3,5
645,645,Billing,Medium,16.2,4.7
646,646,Bug,Low,38.8,3.5
647,647,Technical,High,8.2,4.8
648,648,Feature Request,Low,18.4,4.7
649,649,Technical,Medium,18.2,3.2
650,650,Billing,Low,10.9,5
651,651,Feature Request,Low,18.8,3.4
652,652,Bug,High,3.4,4.2
653,653,Billing,Medium,1,5
654,654,Bug,Medium,12.5,4.6
655,655,Bug,Low,10.5,4.1
656,656,Billing,Low,19.5,4
657,657,Bug,High,2.2,5
658,658,Feature Request,Low,5.4,5
659,659,Billing,Low,2.3,5
660,660,Bug,Medium,21.6,3
661,661,Billing,Medium,6.9,3.8
662,662,Bug,Medium,1,5
663,663,Feature Request,High,8,5
664,664,Technical,Low,3.8,5
665,665,Bug,High,4.9,3.9
666,666,Technical,Low,8,5
667,667,Technical,Low,2.3,5
668,668,Technical,High,1,5
669,669,Feature Request,Medium,2.4,5
670,670,Feature Request,Low,15.3,4.9
671,671,Technical,High,1,5
672,672,Technical,High,15.8,3.9
673,673,Technical,Medium,14.2,3.9
674,674,Feature Request,Low,15.2,4.4
675,675,Bug,High,2.8,5
676,676,Billing,High,2.9,5
677,677,Technical,Low,50.8,2.8
678,678,Feature Request,Medium,2.4,4.4
679,679,Bug,Medium,1,5
680,680,Feature Request,Medium,1.9,5
681,681,Bug,High,5.9,5
682,682,Bug,Low,9.8,4.2
683,683,Feature Request,High,4.1,5
684,684,Billing,Low,21.2,3.6
685,685,Billing,High,1,5
686,686,Technical,Low,9.8,4.5
687,687,Technical,Medium,9.3,5
688,688,Technical,Low,8.2,5
689,689,Bug,Medium,12.3,4.8
690,690,Billing,High,7.5,5
691,691,Technical,Medium,1.1,5
692,692,Feature Request,Medium,2.6,5
693,693,Billing,Medium,1.3,5
694,694,Technical,High,19.8,3.8
695,695,Feature Request,Medium,9.7,4.6
696,696,Billing,Low,35.9,3.7
697,697,Billing,Low,42.6,3.2
698,698,Billing,Medium,1,4.3
699,699,Technical,Medium,14.7,5
700,700,Billing,Medium,1,5
701,701,Bug,High,30.9,2.5
702,702,Feature Request,High,6.1,4.8
703,703,Bug,Low,9.2,5
704,704,Billing,Low,15.7,3.9
705,705,Feature Request,Medium,1,5
706,706,Billing,Medium,21.2,4.6
707,707,Feature Request,High,8.8,4.6
708,708,Technical,Medium,18,4.9
709,709,Technical,Low,26.4,4.1
710,710,Bug,Low,8.1,5
711,711,Feature Request,Low,1,5
712,712,Billing,Medium,4.6,5
713,713,Billing,Low,77.2,1.7
714,714,Bug,Low,3,5
715,715,Billing,High,26.7,4.5
716,716,Feature Request,Medium,1.4,5
717,717,Technical,Low,1.2,4.3
718,718,Billing,Medium,70.2,2.4
719,719,Feature Request,Low,10.9,3.6
720,720,Feature Request,High,1,5
721,721,Billing,Medium,17.1,4.7
722,722,Feature Request,Medium,15.9,4.6
723,723,Technical,Medium,1,5
724,724,Billing,High,3.6,5
725,725,Bug,Low,1.3,5
726,726,Billing,Medium,3.1,4.9
727,727,Bug,Medium,8.8,5
728,728,Feature Request,High,1.8,5
729,729,Billing,High,11.2,5
730,730,Feature Request,High,22.1,4.7
731,731,Billing,High,10,5
732,732,Bug,Medium,3.2,5
733,733,Feature Request,Medium,11.8,3.5
734,734,Billing,High,8.8,5
735,735,Billing,Medium,5.4,4.5
736,736,Bug,Medium,8.1,4
737,737,Billing,High,1,5
738,738,Billing,Low,4.5,5
739,739,Bug,Medium,1.1,5
740,740,Feature Request,Low,24.9,4.4
741,741,Technical,High,12.4,4.1
742,742,Feature Request,Medium,1,5
743,743,Billing,High,19.1,4.3
744,744,Feature Request,High,27.9,4.6
745,745,Bug,High,8.1,4.6
746,746,Technical,Medium,47.6,3.1
747,747,Feature Request,Low,50.2,2.6
748,748,Technical,High,14.3,4.1
749,749,Bug,Low,3.3,5
750,750,Technical,High,4.7,5
751,751,Feature Request,Low,19.1,4.3
752,752,Billing,Medium,25.8,3.8
753,753,Feature Request,Medium,11.1,4.5
754,754,Bug,Low,1,5
755,755,Feature Request,Medium,8.8,5
756,756,Billing,High,3.3,4.9
